time,keys,matches,errors,participant,block,exp,order,handed,age,gender
847,f,1,0,470711,1,CM,1,l,24,m
732,d,0,0,470711,1,CM,1,l,24,m
529,f,1,0,470711,1,CM,1,l,24,m
708,d,0,0,470711,1,CM,1,l,24,m
490,f,1,0,470711,1,CM,1,l,24,m
609,d,0,0,470711,1,CM,1,l,24,m
815,f,1,0,470711,1,CM,1,l,24,m
471,d,0,0,470711,1,CM,1,l,24,m
524,f,1,0,470711,1,CM,1,l,24,m
530,d,0,0,470711,1,CM,1,l,24,m
602,d,0,0,470711,2,CM,1,l,24,m
636,d,0,0,470711,2,CM,1,l,24,m
568,d,0,0,470711,2,CM,1,l,24,m
627,d,0,0,470711,2,CM,1,l,24,m
518,d,0,0,470711,2,CM,1,l,24,m
447,f,1,0,470711,2,CM,1,l,24,m
425,f,1,0,470711,2,CM,1,l,24,m
548,f,1,0,470711,2,CM,1,l,24,m
483,f,1,0,470711,2,CM,1,l,24,m
486,f,1,0,470711,2,CM,1,l,24,m
532,f,1,0,470711,3,CM,1,l,24,m
633,d,0,0,470711,3,CM,1,l,24,m
491,d,0,0,470711,3,CM,1,l,24,m
465,d,0,0,470711,3,CM,1,l,24,m
449,d,0,0,470711,3,CM,1,l,24,m
692,d,0,0,470711,3,CM,1,l,24,m
481,f,1,0,470711,3,CM,1,l,24,m
415,f,1,0,470711,3,CM,1,l,24,m
362,f,1,0,470711,3,CM,1,l,24,m
434,f,1,0,470711,3,CM,1,l,24,m
343,,0,0,470711,1,SR,2,l,24,m
294,,0,0,470711,1,SR,2,l,24,m
330,,0,0,470711,1,SR,2,l,24,m
272,,0,0,470711,1,SR,2,l,24,m
267,,0,0,470711,1,SR,2,l,24,m
281,,0,0,470711,1,SR,2,l,24,m
263,,0,0,470711,1,SR,2,l,24,m
285,,0,0,470711,1,SR,2,l,24,m
298,,0,0,470711,1,SR,2,l,24,m
301,,0,0,470711,1,SR,2,l,24,m
330,,0,0,470711,2,SR,2,l,24,m
252,,0,0,470711,2,SR,2,l,24,m
287,,0,0,470711,2,SR,2,l,24,m
268,,0,0,470711,2,SR,2,l,24,m
289,,0,0,470711,2,SR,2,l,24,m
284,,0,0,470711,2,SR,2,l,24,m
305,,0,0,470711,2,SR,2,l,24,m
276,,0,0,470711,2,SR,2,l,24,m
294,,0,0,470711,2,SR,2,l,24,m
316,,0,0,470711,2,SR,2,l,24,m
1118,,0,0,470711,3,SR,2,l,24,m
603,,0,0,470711,3,SR,2,l,24,m
299,,0,0,470711,3,SR,2,l,24,m
257,,0,0,470711,3,SR,2,l,24,m
297,,0,0,470711,3,SR,2,l,24,m
250,,0,0,470711,3,SR,2,l,24,m
240,,0,0,470711,3,SR,2,l,24,m
320,,0,0,470711,3,SR,2,l,24,m
337,,0,0,470711,3,SR,2,l,24,m
423,,0,0,470711,3,SR,2,l,24,m
518,d,0,0,470711,1,NM,3,l,24,m
576,f,1,0,470711,1,NM,3,l,24,m
483,d,0,0,470711,1,NM,3,l,24,m
509,d,0,0,470711,1,NM,3,l,24,m
535,d,0,0,470711,1,NM,3,l,24,m
439,f,1,0,470711,1,NM,3,l,24,m
607,d,0,0,470711,1,NM,3,l,24,m
439,f,1,0,470711,1,NM,3,l,24,m
436,f,1,0,470711,1,NM,3,l,24,m
480,f,1,0,470711,1,NM,3,l,24,m
503,d,0,0,470711,2,NM,3,l,24,m
516,f,1,0,470711,2,NM,3,l,24,m
549,f,1,0,470711,2,NM,3,l,24,m
549,f,1,0,470711,2,NM,3,l,24,m
464,d,0,0,470711,2,NM,3,l,24,m
593,f,1,0,470711,2,NM,3,l,24,m
454,d,0,0,470711,2,NM,3,l,24,m
482,d,0,0,470711,2,NM,3,l,24,m
443,d,0,0,470711,2,NM,3,l,24,m
699,f,1,0,470711,2,NM,3,l,24,m
763,d,0,0,470711,3,NM,3,l,24,m
636,d,0,0,470711,3,NM,3,l,24,m
555,f,1,0,470711,3,NM,3,l,24,m
456,f,1,0,470711,3,NM,3,l,24,m
535,d,0,0,470711,3,NM,3,l,24,m
523,f,1,0,470711,3,NM,3,l,24,m
587,f,1,0,470711,3,NM,3,l,24,m
493,d,0,0,470711,3,NM,3,l,24,m
658,d,0,0,470711,3,NM,3,l,24,m
