time,keys,matches,errors,participant,block,exp,order,handed,age,gender
774,j,1,0,470711,1,VS,1,r,24,m
471,j,1,0,470711,1,VS,1,r,24,m
403,j,1,0,470711,1,VS,1,r,24,m
564,j,1,0,470711,1,VS,1,r,24,m
433,k,0,0,470711,1,VS,1,r,24,m
364,k,0,0,470711,1,VS,1,r,24,m
449,k,0,0,470711,1,VS,1,r,24,m
502,k,0,0,470711,1,VS,1,r,24,m
433,k,0,0,470711,1,VS,1,r,24,m
336,k,1,1,470711,1,VS,1,r,24,m
850,k,0,0,470711,2,VS,1,r,24,m
444,j,1,0,470711,2,VS,1,r,24,m
662,k,0,0,470711,2,VS,1,r,24,m
527,k,0,0,470711,2,VS,1,r,24,m
468,k,0,0,470711,2,VS,1,r,24,m
432,j,1,0,470711,2,VS,1,r,24,m
551,k,0,0,470711,2,VS,1,r,24,m
560,j,1,0,470711,2,VS,1,r,24,m
536,j,1,0,470711,2,VS,1,r,24,m
427,j,1,0,470711,2,VS,1,r,24,m
655,j,1,0,470711,3,VS,1,r,24,m
439,j,1,0,470711,3,VS,1,r,24,m
489,k,0,0,470711,3,VS,1,r,24,m
514,j,1,0,470711,3,VS,1,r,24,m
439,k,0,0,470711,3,VS,1,r,24,m
559,k,0,0,470711,3,VS,1,r,24,m
604,k,0,0,470711,3,VS,1,r,24,m
397,j,1,0,470711,3,VS,1,r,24,m
548,k,0,0,470711,3,VS,1,r,24,m
543,j,1,0,470711,3,VS,1,r,24,m
571,k,0,0,470711,1,VS,2,r,24,m
503,k,0,0,470711,1,VS,2,r,24,m
469,j,1,0,470711,1,VS,2,r,24,m
533,j,1,0,470711,1,VS,2,r,24,m
589,j,1,0,470711,1,VS,2,r,24,m
624,j,1,0,470711,1,VS,2,r,24,m
574,j,1,0,470711,1,VS,2,r,24,m
451,k,0,0,470711,1,VS,2,r,24,m
798,k,0,0,470711,1,VS,2,r,24,m
672,k,0,0,470711,1,VS,2,r,24,m
591,k,0,0,470711,2,VS,2,r,24,m
857,k,1,1,470711,2,VS,2,r,24,m
861,k,0,0,470711,2,VS,2,r,24,m
536,k,0,0,470711,2,VS,2,r,24,m
721,j,1,0,470711,2,VS,2,r,24,m
622,j,1,0,470711,2,VS,2,r,24,m
663,k,0,0,470711,2,VS,2,r,24,m
501,j,1,0,470711,2,VS,2,r,24,m
430,j,1,0,470711,2,VS,2,r,24,m
699,k,0,0,470711,2,VS,2,r,24,m
747,j,1,0,470711,3,VS,2,r,24,m
4496,j,0,0,470711,3,VS,2,r,24,m
788,j,1,0,470711,3,VS,2,r,24,m
605,k,0,0,470711,3,VS,2,r,24,m
456,j,1,0,470711,3,VS,2,r,24,m
534,k,0,0,470711,3,VS,2,r,24,m
580,j,1,0,470711,3,VS,2,r,24,m
595,k,0,0,470711,3,VS,2,r,24,m
642,j,1,0,470711,3,VS,2,r,24,m
626,k,0,0,470711,3,VS,2,r,24,m
869,j,1,0,470711,1,VS,3,r,24,m
600,k,0,0,470711,1,VS,3,r,24,m
815,k,0,0,470711,1,VS,3,r,24,m
586,k,1,1,470711,1,VS,3,r,24,m
707,k,0,0,470711,1,VS,3,r,24,m
528,k,0,0,470711,1,VS,3,r,24,m
594,j,1,0,470711,1,VS,3,r,24,m
732,j,1,0,470711,1,VS,3,r,24,m
548,k,0,0,470711,1,VS,3,r,24,m
589,j,1,0,470711,1,VS,3,r,24,m
623,k,0,0,470711,2,VS,3,r,24,m
520,j,1,0,470711,2,VS,3,r,24,m
675,j,1,0,470711,2,VS,3,r,24,m
541,k,0,0,470711,2,VS,3,r,24,m
987,k,1,1,470711,2,VS,3,r,24,m
514,j,1,0,470711,2,VS,3,r,24,m
624,k,0,0,470711,2,VS,3,r,24,m
527,k,0,0,470711,2,VS,3,r,24,m
616,k,1,1,470711,2,VS,3,r,24,m
725,k,0,0,470711,2,VS,3,r,24,m
552,k,0,0,470711,3,VS,3,r,24,m
637,k,0,0,470711,3,VS,3,r,24,m
577,k,0,0,470711,3,VS,3,r,24,m
812,j,1,0,470711,3,VS,3,r,24,m
649,k,0,0,470711,3,VS,3,r,24,m
581,j,1,0,470711,3,VS,3,r,24,m
840,j,1,0,470711,3,VS,3,r,24,m
562,j,1,0,470711,3,VS,3,r,24,m
652,k,0,0,470711,3,VS,3,r,24,m
815,j,1,0,470711,3,VS,3,r,24,m
1068,j,1,0,470711,1,VS,4,r,24,m
609,j,1,0,470711,1,VS,4,r,24,m
837,j,1,0,470711,1,VS,4,r,24,m
797,k,0,0,470711,1,VS,4,r,24,m
805,k,0,0,470711,1,VS,4,r,24,m
1149,k,0,0,470711,1,VS,4,r,24,m
909,k,0,0,470711,1,VS,4,r,24,m
872,k,0,0,470711,1,VS,4,r,24,m
643,j,1,0,470711,1,VS,4,r,24,m
1032,j,1,0,470711,1,VS,4,r,24,m
578,j,1,0,470711,2,VS,4,r,24,m
644,j,1,0,470711,2,VS,4,r,24,m
748,j,1,0,470711,2,VS,4,r,24,m
591,j,1,0,470711,2,VS,4,r,24,m
890,j,1,0,470711,2,VS,4,r,24,m
740,k,0,0,470711,2,VS,4,r,24,m
628,k,0,0,470711,2,VS,4,r,24,m
668,k,0,0,470711,2,VS,4,r,24,m
611,k,0,0,470711,2,VS,4,r,24,m
631,k,0,0,470711,2,VS,4,r,24,m
860,k,0,0,470711,3,VS,4,r,24,m
746,j,1,0,470711,3,VS,4,r,24,m
1145,j,1,0,470711,3,VS,4,r,24,m
1286,j,1,0,470711,3,VS,4,r,24,m
931,j,1,0,470711,3,VS,4,r,24,m
547,j,1,0,470711,3,VS,4,r,24,m
1038,k,0,0,470711,3,VS,4,r,24,m
1211,k,0,0,470711,3,VS,4,r,24,m
1028,k,0,0,470711,3,VS,4,r,24,m
1175,k,0,0,470711,3,VS,4,r,24,m
1857,j,1,0,470711,1,VS,5,r,24,m
2367,k,0,0,470711,1,VS,5,r,24,m
1569,k,0,0,470711,1,VS,5,r,24,m
1775,k,0,0,470711,1,VS,5,r,24,m
2051,k,0,0,470711,1,VS,5,r,24,m
2567,k,0,0,470711,1,VS,5,r,24,m
2003,k,1,1,470711,1,VS,5,r,24,m
1304,j,1,0,470711,1,VS,5,r,24,m
1343,j,1,0,470711,1,VS,5,r,24,m
1069,j,1,0,470711,1,VS,5,r,24,m
1768,j,1,0,470711,2,VS,5,r,24,m
716,j,1,0,470711,2,VS,5,r,24,m
1488,k,0,0,470711,2,VS,5,r,24,m
1312,j,1,0,470711,2,VS,5,r,24,m
584,j,1,0,470711,2,VS,5,r,24,m
1187,k,0,0,470711,2,VS,5,r,24,m
1449,k,0,0,470711,2,VS,5,r,24,m
612,j,1,0,470711,2,VS,5,r,24,m
1539,k,0,0,470711,2,VS,5,r,24,m
2470,k,0,0,470711,2,VS,5,r,24,m
1156,j,1,0,470711,3,VS,5,r,24,m
878,j,1,0,470711,3,VS,5,r,24,m
2006,k,0,0,470711,3,VS,5,r,24,m
886,j,0,1,470711,3,VS,5,r,24,m
1096,j,1,0,470711,3,VS,5,r,24,m
1110,k,0,0,470711,3,VS,5,r,24,m
973,k,0,0,470711,3,VS,5,r,24,m
1215,j,1,0,470711,3,VS,5,r,24,m
959,j,1,0,470711,3,VS,5,r,24,m
1531,k,0,0,470711,3,VS,5,r,24,m
3799,k,0,0,470711,1,VS,6,r,24,m
3541,k,0,0,470711,1,VS,6,r,24,m
1128,j,1,0,470711,1,VS,6,r,24,m
1263,j,1,0,470711,1,VS,6,r,24,m
2532,j,1,0,470711,1,VS,6,r,24,m
716,j,1,0,470711,1,VS,6,r,24,m
2187,j,1,0,470711,1,VS,6,r,24,m
3833,k,0,0,470711,1,VS,6,r,24,m
3644,k,0,0,470711,1,VS,6,r,24,m
4178,k,0,0,470711,1,VS,6,r,24,m
1333,j,1,0,470711,2,VS,6,r,24,m
2001,k,0,0,470711,2,VS,6,r,24,m
2286,j,1,0,470711,2,VS,6,r,24,m
3098,k,0,0,470711,2,VS,6,r,24,m
3302,k,0,0,470711,2,VS,6,r,24,m
2853,k,0,0,470711,2,VS,6,r,24,m
3715,j,1,0,470711,2,VS,6,r,24,m
1943,k,0,0,470711,2,VS,6,r,24,m
2888,k,1,1,470711,2,VS,6,r,24,m
2639,j,1,0,470711,2,VS,6,r,24,m
3363,k,0,0,470711,3,VS,6,r,24,m
1427,j,1,0,470711,3,VS,6,r,24,m
828,j,1,0,470711,3,VS,6,r,24,m
2732,k,0,0,470711,3,VS,6,r,24,m
1637,j,1,0,470711,3,VS,6,r,24,m
635,j,1,0,470711,3,VS,6,r,24,m
3014,k,0,0,470711,3,VS,6,r,24,m
2251,k,0,0,470711,3,VS,6,r,24,m
2852,k,1,1,470711,3,VS,6,r,24,m
4117,k,0,0,470711,3,VS,6,r,24,m
