Participant,Block,Trial,Technique,Time,Error
1,1,1,0,1.717445341513E9,0
1,1,1,0,1.717445341536E9,0
1,1,1,0,1.717445341541E9,0
1,1,1,0,1.717445341555E9,0
1,1,1,0,1.717445341556E9,0
1,1,1,0,1.717445341567E9,0
1,1,1,0,1.717445341569E9,0
1,1,1,0,1.717445341578E9,0
1,1,1,0,1.717445341584E9,0
1,1,1,0,1.717445341591E9,1
1,1,1,0,1.7174453416E9,1
1,1,1,0,1.717445341606E9,1
1,1,1,0,1.717445341614E9,1
1,1,1,0,1.717445341621E9,1
1,1,1,0,1.717445341628E9,1
1,1,1,0,1.717445341636E9,1
1,1,1,0,1.717445341643E9,1
1,1,1,0,1.717445341652E9,1
1,1,1,0,1.717445341659E9,1
1,1,1,0,1.717445341665E9,1
1,1,1,0,1.717445341673E9,1
1,1,1,0,1.717445341679E9,1
1,1,1,0,1.717445341687E9,1
1,1,1,0,1.717445341694E9,1
1,1,1,0,1.717445341701E9,1
1,1,1,0,1.717445341707E9,0
1,1,1,0,1.717445341716E9,0
1,1,1,0,1.717445341723E9,0
1,1,1,0,1.71744534173E9,0
1,1,1,0,1.717445341736E9,0
1,1,1,0,1.717445341744E9,0
1,1,1,0,1.717445341753E9,0
1,1,1,0,1.717445341758E9,0
1,1,1,0,1.717445341765E9,0
1,1,1,0,1.717445341772E9,0
1,1,1,0,1.717445341779E9,0
1,1,1,0,1.717445341786E9,0
1,1,1,0,1.717445341793E9,0
1,1,1,0,1.7174453418E9,0
1,1,1,0,1.717445341807E9,0
1,1,1,0,1.717445341815E9,0
1,1,1,0,1.717445341822E9,0
1,1,1,0,1.717445341829E9,0
1,1,1,0,1.717445341836E9,0
1,1,1,0,1.717445341843E9,0
1,1,1,0,1.717445341852E9,1
1,1,1,0,1.717445341857E9,1
1,1,1,0,1.717445341864E9,1
1,1,1,0,1.717445341873E9,1
1,1,1,0,1.717445341878E9,1
1,1,1,0,1.717445341887E9,1
1,1,1,0,1.717445341894E9,1
1,1,1,0,1.717445341901E9,1
1,1,1,0,1.717445341908E9,1
1,1,1,0,1.717445341915E9,1
1,1,1,0,1.717445341922E9,1
1,1,1,0,1.71744534193E9,1
1,1,1,0,1.717445341936E9,1
1,1,1,0,1.717445341944E9,1
1,1,1,0,1.717445341951E9,1
1,1,1,0,1.717445341958E9,1
1,1,1,0,1.717445341965E9,1
1,1,1,0,1.717445341973E9,1
1,1,1,0,1.717445341979E9,1
1,1,1,0,1.717445341986E9,1
1,1,1,0,1.717445341994E9,1
1,1,1,0,1.717445342002E9,1
1,1,1,0,1.71744534201E9,0
1,1,1,0,1.717445342016E9,0
1,1,1,0,1.717445342023E9,0
1,1,1,0,1.717445342031E9,0
1,1,1,0,1.717445342038E9,0
1,1,1,0,1.717445342055E9,0
1,1,1,0,1.717445342059E9,0
1,1,1,0,1.717445342069E9,0
1,1,1,0,1.717445342086E9,0
1,1,1,0,1.717445342088E9,0
1,1,1,0,1.717445342103E9,0
1,1,1,0,1.717445342111E9,0
1,1,1,0,1.717445342118E9,0
1,1,1,0,1.717445342126E9,0
1,1,1,0,1.717445342133E9,0
1,1,1,0,1.717445342139E9,0
1,1,1,0,1.717445342147E9,0
1,1,1,0,1.717445342154E9,0
1,1,1,0,1.717445342162E9,0
1,1,1,0,1.717445342171E9,0
1,1,1,0,1.717445342175E9,0
1,1,1,0,1.717445342183E9,0
1,1,1,0,1.717445342189E9,0
1,1,1,0,1.717445342197E9,0
1,1,1,0,1.717445342204E9,0
1,1,1,0,1.717445342211E9,0
1,1,1,0,1.717445342219E9,0
1,1,1,0,1.717445342225E9,0
1,1,1,0,1.717445342235E9,0
1,1,1,0,1.717445342241E9,1
1,1,1,0,1.717445342252E9,1
1,1,1,0,1.717445342255E9,1
1,1,1,0,1.717445342263E9,1
1,1,1,0,1.71744534227E9,1
1,1,1,0,1.717445342276E9,0
1,1,1,0,1.717445342284E9,0
1,1,1,0,1.717445342292E9,0
1,1,1,0,1.717445342303E9,0
1,1,1,0,1.717445342307E9,0
1,1,1,0,1.717445342319E9,0
1,1,1,0,1.717445342321E9,0
1,1,1,0,1.717445342336E9,0
1,1,1,0,1.717445342343E9,1
1,1,1,0,1.717445342352E9,1
1,1,1,0,1.717445342357E9,1
1,1,1,0,1.717445342365E9,1
1,1,1,0,1.717445342372E9,1
1,1,1,0,1.717445342379E9,1
1,1,1,0,1.717445342386E9,1
1,1,1,0,1.717445342394E9,0
1,1,1,0,1.717445342401E9,0
1,1,1,0,1.717445342408E9,0
1,1,1,0,1.717445342415E9,0
1,1,1,0,1.717445342423E9,0
1,1,1,0,1.71744534243E9,0
1,1,1,0,1.717445342437E9,0
1,1,1,0,1.717445342443E9,0
1,1,1,0,1.71744534245E9,0
1,1,1,0,1.717445342459E9,0
1,1,1,0,1.717445342466E9,0
1,1,1,0,1.717445342474E9,0
